session,username,application,activity,event,time,created_at,updated_at,event_value,name,switch,x,type,board,source,dest,y,currentFlowing,groupname
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487265989.135999,0.0,0.0,"",lc1,"",315.56,7408,0,"","",82.32000000000001,true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Sent message,1487265991.907,0.0,0.0,should we build ours first then connect?,"","","","",1,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Sent message,1487265999.654,0.0,0.0,k,"","","","",0,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266009.107,0.0,0.0,"","","","","",0,"{""component""=>""lc1"", ""pin""=>{""index""=>12, ""name""=>""13""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>0, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Sent message,1487266017.167999,0.0,0.0,i am outputs,"","","","",1,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Sent message,1487266022.23,0.0,0.0,im in,"","","","",0,"","","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Move Logic Chip,1487266027.161,0.0,0.0,"",lc0,"",82.32000000000001,7411,1,"","",82.32000000000001,true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Move Logic Chip,1487266028.848999,0.0,0.0,"",lc1,"",343,7432,1,"","",109.76,true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Move Logic Chip,1487266031.055,0.0,0.0,"",lc0,"",109.76,7411,1,"","",260.68,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266040.1169999,0.0,0.0,"","","","","",0,"{""component""=>""lc1"", ""pin""=>{""index""=>9, ""name""=>""10""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>1, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Add wire,1487266043.7500002,0.0,0.0,"","","","","",1,"{""component""=>""lc1"", ""pin""=>{""index""=>10, ""name""=>""11""}, ""type""=>""pin"", ""board""=>1}","{""component""=>""lc1"", ""pin""=>{""index""=>9, ""name""=>""10""}, ""type""=>""pin"", ""board""=>1}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266045.92,0.0,0.0,"","","","","",0,"{""component""=>""lc1"", ""pin""=>{""index""=>0, ""name""=>""1""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>2, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Add wire,1487266051.743,0.0,0.0,"","","","","",1,"{""component""=>""lc1"", ""pin""=>{""index""=>7, ""name""=>""8""}, ""type""=>""pin"", ""board""=>1}","{""connector""=>""output"", ""hole""=>{""index""=>0, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>1}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Remove wire,1487266054.535,0.0,0.0,"","","","","",0,"{""component""=>""lc1"", ""pin""=>{""index""=>0, ""name""=>""1""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>2, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266059.459,0.0,0.0,"","","","","",0,"{""component""=>""lc1"", ""pin""=>{""index""=>0, ""name""=>""1""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>2, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
